file,SDMatte_MSE,SDMatte_SAD,SDMatte_MAD,MAM_MSE,MAM_SAD,MAM_MAD,ZIM_MSE,ZIM_SAD,ZIM_MAD,avg_MSE,avg_SAD,avg_MAD,mse_std
116.png,0.04891246648991582,77.56187058823535,0.07396876391242538,0.06904686921562243,115.27207058823531,0.1099320131189683,0.5592586619704562,633.9699529411764,0.6046008614932789,0.22573933255866482,275.6012980392157,0.2628338795082242,0.23597698455816754
117.png,0.0647664540990047,123.51810588235291,0.11779604519114772,0.17926741557871093,229.33379215686273,0.2187097474640491,0.9397255411408394,998.8015764705877,0.9525314106660726,0.39458647027285165,450.55115816993447,0.4296790677737565,0.38829548240573525
118.png,0.019149250425040273,43.106160784313715,0.041109238418878286,0.21827083061127336,254.2914196078431,0.24251119576248464,0.9063379418836197,985.1695725490192,0.9395309186449234,0.38125267430664445,427.52238431372535,0.40771711760876217,0.38008617846812354
119.png,0.0167807482609791,34.51612549019609,0.03291714238185509,0.013457347425485013,37.67410980392158,0.035928830913468913,0.7453042131605083,813.3589137254899,0.7756795060400866,0.2585141029489908,295.1830496732025,0.28150849311180354,0.3442152619104159
12.png,0.2673095492810663,488.5530588235294,0.46592050440171184,0.01293270568671661,32.20590980392156,0.030713949016496236,0.05490734739791243,72.51916470588233,0.06915966482723458,0.11171653412189846,197.75937777777776,0.18859803941514755,0.11134737659366323
120.png,0.014012875995100666,36.37747450980391,0.03469226313572303,0.07145017067316359,96.69425882352941,0.09221483118393842,0.8815416116358824,965.0156823529405,0.9203106711892515,0.3223348861013822,366.02913856209125,0.349072588502971,0.39611352086428203
121.png,0.03219449236502056,55.50612156862745,0.052934762543322994,0.03958670214660717,74.767968627451,0.07130429136986828,0.9195877816282019,985.3728039215681,0.9397247351852113,0.33045632537994324,371.8822980392155,0.3546545963661342,0.4165897788370546
122.png,0.01301921775550945,21.67654117647059,0.02067236058852252,0.0411708177818055,68.72614509803924,0.06554235944560932,0.47382337007738934,534.3121803921568,0.5095598033830231,0.1760044685382348,208.2382888888889,0.19859150780571833,0.21090314006118485
123.png,0.07142405190590664,80.33904705882352,0.07661728578455307,0.0786255131259142,100.36891764705881,0.09571925892549402,0.30491743631153917,332.5550901960784,0.3171492483101639,0.15165566711445333,171.08768496732023,0.163161931006737,0.10841230767765384
124.png,0.017670559426629973,29.279156862745097,0.027922779906029795,0.015800819543635367,36.964921568627446,0.03525249630797143,0.7304714876062729,817.6269098039214,0.7797497842826094,0.2546476221921794,294.623662745098,0.2809750201655369,0.33645914774804836
125.png,0.0314491608856917,73.47943921568626,0.07007545396393419,0.058008726238058646,118.0590980392157,0.11258992961808748,0.16115725001386844,175.16845882352942,0.16705366022446577,0.08353837904587293,122.23566535947712,0.11657301460216248,0.055945625242649163
126.png,0.015208412692529427,33.5458862745098,0.03199185016108493,0.07742888527253829,109.04429019607844,0.10399273891074985,0.01702780279550402,27.288082352941178,0.026023943283978633,0.036555033586857244,56.62608627450981,0.054002844118604475,0.028911720331657755
127.png,0.012229488831857038,24.18529411764706,0.02306489383473116,0.08036786583559825,140.5571568627451,0.13404575048708448,0.009781000385922401,18.0668862745098,0.017229925417432592,0.034126118351125896,60.93644575163398,0.058113523246416075,0.032713128676733115
128.png,0.003618027284850254,7.4952627450980405,0.007148039574716607,0.007671079800615667,30.59036862745098,0.02917324888939951,0.014229934586785658,27.1686431372549,0.025910037171606923,0.00850634722408386,21.751424836601306,0.02074377521190768,0.004372367619322349
129.png,0.010793808655113679,19.50060784313727,0.018597228854310293,0.03680932845394688,90.7222274509804,0.08651945824716606,0.010434484192152661,21.03890196078431,0.02006426044538909,0.019345873767071076,43.753912418300665,0.04172698251562182,0.012349398520247697
13.png,0.03744682951461167,66.45814901960783,0.0633794298358992,0.049304913920835594,110.80230980392156,0.10566931705848842,0.9229924272583431,978.4455058823528,0.9331183489631203,0.3365813902312635,385.2353215686274,0.3673890319525026,0.4146834791354546
